date,open,low,high,close,adj_close,volume,shares_outstanding
2004-01-26,93.59,93.27,95.46,95.46,55.75,6474112,1769518200.0
2004-01-27,95.03,94.36,95.29,94.46,55.16,5591184,1769518200.0
2004-01-28,94.79,93.0,95.05,93.1,54.37,6850986,1769518200.0
2004-01-29,93.79,92.3,94.26,93.7,54.72,6948055,1769518200.0
2004-01-30,93.71,93.54,94.96,94.87,55.4,6419930,1769518200.0
2004-02-02,94.79,94.17,95.54,95.02,55.49,6485200,1769518200.0
2004-02-03,94.65,94.6,95.6,95.6,55.83,5862098,1769518200.0
2004-02-04,95.01,94.93,96.01,95.78,55.94,8773325,1769518200.0
2004-02-05,95.6,93.94,95.69,94.51,55.2,6249850,1769518200.0
2004-02-06,94.5,93.93,94.88,94.59,55.33,5770677,1769518200.0
2004-02-09,94.94,94.26,95.07,94.6,55.34,3914550,1769518200.0
2004-02-10,94.12,94.08,95.57,95.23,55.7,4244145,1769518200.0
2004-02-11,94.84,94.46,95.9,95.56,55.9,5758962,1769518200.0
2004-02-12,95.66,94.93,95.89,94.93,55.53,3777629,1769518200.0
2004-02-13,94.74,94.73,95.69,95.33,55.76,3726270,1769518200.0
2004-02-17,95.59,94.95,95.6,95.0,55.57,4111198,1769518200.0
2004-02-18,94.94,93.83,95.38,94.09,55.04,5052494,1769518200.0
2004-02-19,94.09,93.23,94.87,93.5,54.69,5697771,1769518200.0
2004-02-20,94.26,92.92,94.26,93.03,54.42,5951949,1769518200.0
2004-02-23,93.12,91.26,93.22,91.74,53.66,6934039,1769518200.0
2004-02-24,91.01,91.01,93.17,92.53,54.13,7330682,1769518200.0
2004-02-25,92.26,92.0,92.82,92.29,53.99,3517175,1769518200.0
2004-02-26,92.04,92.02,92.98,92.53,54.13,4148122,1769518200.0
2004-02-27,92.54,91.87,93.1,92.26,53.97,4931890,1769518200.0
2004-03-01,92.26,91.92,92.97,92.77,54.27,4658884,1769518200.0
2004-03-02,93.31,92.37,93.31,92.56,54.14,5205105,1769518200.0
2004-03-03,92.32,91.4,92.63,92.58,54.16,5027599,1769518200.0
2004-03-04,92.33,91.9,92.66,92.15,53.9,3711103,1769518200.0
2004-03-05,91.73,91.36,92.72,92.21,53.94,4153561,1769518200.0
2004-03-08,92.25,90.43,92.62,90.43,52.9,5318073,1769518200.0
2004-03-09,90.15,89.65,91.09,90.37,52.86,6684568,1769518200.0
2004-03-10,90.23,88.6,90.57,88.97,52.04,6836970,1769518200.0
2004-03-11,87.95,87.14,88.89,87.2,51.01,8954597,1769518200.0
2004-03-12,87.95,87.65,89.27,89.2,52.18,6579968,1769518200.0
2004-03-15,88.53,86.88,88.61,87.78,51.35,6823058,1769518200.0
2004-03-16,88.34,87.4,88.62,88.38,51.7,4840470,1769518200.0
2004-03-17,88.5,88.38,89.67,89.28,52.23,4877498,1769518200.0
2004-03-18,88.96,87.86,89.08,88.77,51.92,4817039,1769518200.0
2004-03-19,88.78,87.49,88.88,87.59,51.24,7383400,1769518200.0
2004-03-22,87.26,86.31,87.46,87.02,50.9,6509781,1769518200.0
2004-03-23,87.57,86.69,88.11,87.3,51.07,5298304,1769518200.0
2004-03-24,87.54,87.04,88.42,87.73,51.32,6496078,1769518200.0
2004-03-25,88.1,87.43,88.56,88.33,51.67,5842747,1769518200.0
2004-03-26,88.33,88.11,89.15,88.69,51.88,4599994,1769518200.0
2004-03-29,88.9,88.13,89.49,88.6,51.83,5100610,1769518200.0
2004-03-30,88.59,87.33,88.59,88.26,51.63,5664822,1769518200.0
2004-03-31,88.02,87.49,88.18,87.8,51.36,4825721,1769518200.0
2004-04-01,87.64,87.59,88.6,88.31,51.66,4442257,1769518200.0
2004-04-02,89.44,89.23,90.39,90.06,52.68,6165647,1769518200.0
2004-04-05,89.82,89.4,90.22,90.04,52.67,4117056,1769518200.0
2004-04-06,89.48,88.93,89.67,89.58,52.4,4037665,1769518200.0
2004-04-07,89.26,88.44,89.46,88.99,52.05,4746016,1769518200.0
2004-04-08,89.87,88.48,90.24,89.02,52.07,4045928,1769518200.0
2004-04-12,89.39,89.29,90.21,89.62,52.42,3255780,1769518200.0
2004-04-13,89.67,88.43,89.9,88.95,52.03,5244226,1769518200.0
2004-04-14,88.05,88.05,89.73,89.58,52.4,5560850,1769518200.0
2004-04-15,89.67,88.97,89.95,89.84,52.55,7159033,1769518200.0
2004-04-16,88.24,87.04,88.29,88.22,51.61,11629428,1769518200.0
2004-04-19,87.86,87.67,88.24,87.9,51.42,4350732,1769518200.0
2004-04-20,87.95,86.66,88.41,86.66,50.69,4456169,1769518200.0
2004-04-21,87.14,86.7,87.4,87.25,51.03,4836076,1769518200.0
2004-04-22,86.52,85.76,87.49,86.75,50.74,8355448,1769518200.0
2004-04-23,87.0,86.39,87.58,87.27,51.05,5296107,1769518200.0
2004-04-26,86.76,86.38,87.53,86.45,50.57,4742146,1769518200.0
2004-04-27,86.66,86.58,87.94,87.1,50.95,4987328,1769518200.0
2004-04-28,86.33,86.24,86.98,86.43,50.56,4922476,1769518200.0
2004-04-29,86.05,84.31,86.29,85.16,49.82,8120307,1769518200.0
2004-04-30,85.1,84.14,85.28,84.29,49.31,5250397,1769518200.0
2004-05-03,84.25,83.37,84.63,84.15,49.22,6349325,1769518200.0
2004-05-04,84.15,84.13,85.79,85.09,49.77,5702583,1769518200.0
2004-05-05,85.8,84.62,85.8,85.05,49.75,4604806,1769518200.0
2004-05-06,84.23,83.74,85.18,84.47,49.51,4517779,1769518200.0
2004-05-07,83.89,83.77,85.47,84.31,49.42,5656140,1769518200.0
2004-05-10,83.75,82.57,84.23,83.06,48.68,7000250,1769518200.0
2004-05-11,83.37,83.0,84.27,83.3,48.82,6877450,1769518200.0
2004-05-12,83.41,81.38,83.41,82.99,48.65,8834307,1769518200.0
