date,open,low,high,close,adj_close,volume
2000-11-02,143.16,142.52,143.91,142.7,93.79,11395100
2000-11-03,143.47,142.38,143.75,142.78,93.84,5187100
2000-11-06,143.16,143.03,144.3,143.78,94.5,4042500
2000-11-07,143.14,142.56,144.0,143.75,94.48,5231300
2000-11-08,144.06,140.56,144.06,140.56,92.38,6123300
2000-11-09,140.0,137.25,141.22,140.03,92.03,10635300
2000-11-10,139.0,136.53,139.47,136.62,89.79,8569500
2000-11-13,135.62,133.02,136.98,135.56,89.09,17285300
2000-11-14,137.47,137.0,139.62,139.12,91.44,7668900
2000-11-15,139.06,137.75,140.11,139.56,91.72,8837700
2000-11-16,138.58,137.31,139.88,137.38,90.29,6684100
2000-11-17,137.31,135.75,139.0,136.64,89.8,6551100
2000-11-20,135.75,134.31,136.38,134.69,88.52,5458500
2000-11-21,134.88,133.52,136.19,135.38,88.97,7684300
2000-11-22,134.34,132.12,134.88,132.14,86.85,5736900
2000-11-24,133.62,133.62,134.97,134.84,88.62,3411600
2000-11-27,136.47,135.31,136.69,136.03,89.4,5992000
2000-11-28,135.12,133.64,136.59,133.69,87.86,5336100
2000-11-29,134.38,133.27,135.91,133.44,87.7,6914100
2000-11-30,132.5,129.75,133.5,132.28,86.94,11201600
2000-12-01,133.19,131.0,134.06,132.22,86.9,7587200
2000-12-04,131.88,131.5,133.88,133.34,87.64,6996600
2000-12-05,134.88,134.41,138.25,137.72,90.51,8883400
2000-12-06,137.78,135.03,138.34,135.52,89.06,12888000
2000-12-07,134.88,133.66,135.88,133.66,87.84,6529100
2000-12-08,137.06,133.88,139.47,133.97,88.05,10276300
2000-12-11,137.38,136.72,139.56,138.62,91.11,6405600
2000-12-12,138.19,137.38,138.81,138.03,90.72,5022900
2000-12-13,139.25,136.03,139.41,136.14,89.47,6070500
2000-12-14,135.88,134.03,136.5,134.41,88.33,7678400
2000-12-15,133.12,130.56,133.12,130.97,86.35,9065300
2000-12-18,132.06,131.77,133.47,132.72,87.5,7235400
2000-12-19,132.47,130.02,134.97,130.02,85.72,9616600
2000-12-20,128.62,126.09,128.94,126.25,83.23,9994300
2000-12-21,126.0,125.53,128.86,127.12,83.81,14331500
2000-12-22,129.0,128.84,131.11,130.94,86.33,10182900
2000-12-26,130.84,130.28,132.34,132.34,87.25,4665300
2000-12-27,131.75,131.25,133.73,133.31,87.89,4854100
2000-12-28,132.81,132.59,133.88,133.72,88.16,8358700
2000-12-29,134.06,131.19,134.28,131.19,86.49,8774600
2001-01-02,132.0,127.56,132.16,128.81,84.92,8737500
2001-01-03,128.31,127.66,136.0,135.0,89.0,19431600
2001-01-04,134.94,133.0,135.47,133.55,88.05,9219000
2001-01-05,133.47,129.19,133.62,129.19,85.17,12911400
2001-01-08,129.88,127.69,130.19,130.19,85.83,6625300
2001-01-09,131.05,129.42,131.5,129.84,85.6,5702400
2001-01-10,129.0,128.81,132.12,132.12,87.11,8746100
2001-01-11,131.09,131.09,133.48,132.25,87.19,7245100
2001-01-12,132.69,131.28,133.72,132.0,87.03,7244000
2001-01-16,132.0,131.52,133.19,132.84,87.58,8542200
